device_id,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级
DEV00000238,9,3459.69,2,0,8,7,1,0.2222222222222222,极高
DEV00000121,6,2288.01,1,0,6,5,1,0.16666666666666666,高
DEV00000007,4,2552.25,1,0,4,3,1,0.25,极高
DEV00000071,11,3784.26,1,0,11,6,1,0.09090909090909091,高
DEV00000150,7,3761.46,1,0,4,5,1,0.14285714285714285,高
DEV00000141,8,4422.110000000001,1,0,8,6,1,0.125,高
DEV00000142,10,3772.44,1,0,10,6,1,0.1,高
DEV00000104,6,4114.05,1,0,6,5,1,0.16666666666666666,高
DEV00000117,8,5726.49,1,0,7,7,1,0.125,高
DEV00000077,8,8075.96,1,0,8,5,1,0.125,高
DEV00000106,5,1515.26,1,0,5,4,1,0.2,高
DEV00000107,10,3110.29,1,0,9,8,1,0.1,高
DEV00000080,6,5499.43,1,0,5,6,1,0.16666666666666666,高
DEV00000108,12,6620.94,1,0,11,7,1,0.08333333333333333,高
DEV00000061,8,6617.379999999999,1,1,7,7,1,0.125,高
DEV00000186,10,7007.43,1,0,9,8,1,0.1,高
DEV00000179,15,8857.56,1,0,13,9,1,0.06666666666666667,高
DEV00000177,9,10859.630000000001,1,0,8,6,1,0.1111111111111111,高
DEV00000065,9,3005.4,1,0,7,7,1,0.1111111111111111,高
DEV00000066,7,6766.5599999999995,1,0,7,5,1,0.14285714285714285,高
DEV00000112,7,8911.59,1,0,7,6,1,0.14285714285714285,高
DEV00000068,12,5740.07,1,0,12,5,1,0.08333333333333333,高
DEV00000086,6,3320.29,1,1,5,4,1,0.16666666666666666,高
DEV00000188,11,10434.16,1,0,10,5,1,0.09090909090909091,高
DEV00000199,11,9640.07,1,0,10,8,1,0.09090909090909091,高
DEV00000207,10,5149.03,1,0,9,6,1,0.1,高
DEV00000214,9,9420.03,1,0,9,8,1,0.1111111111111111,高
DEV00000217,10,4405.66,1,0,9,6,1,0.1,高
DEV00000223,10,7501.77,1,0,9,7,1,0.1,高
DEV00000226,10,3766.02,1,0,10,5,1,0.1,高
DEV00000234,21,16634.27,1,0,18,10,1,0.047619047619047616,中
DEV00000236,4,8465.37,1,0,4,4,1,0.25,极高
DEV00000025,6,2255.04,1,0,6,6,1,0.16666666666666666,高
DEV00000239,11,6385.8099999999995,1,0,11,7,1,0.09090909090909091,高
DEV00000249,7,9022.95,1,0,7,4,1,0.14285714285714285,高
DEV00000260,7,6005.08,1,0,7,6,1,0.14285714285714285,高
DEV00000275,6,1927.0,1,0,6,5,1,0.16666666666666666,高
DEV00000022,7,4902.77,1,0,7,7,1,0.14285714285714285,高
DEV00000285,4,5920.66,1,0,4,4,1,0.25,极高
DEV00000306,9,12524.15,1,0,8,6,1,0.1111111111111111,高
DEV00000312,14,2732.5499999999997,1,0,14,5,1,0.07142857142857142,高
DEV00000327,8,7870.09,1,0,8,6,1,0.125,高
DEV00000334,5,3737.73,1,0,5,4,1,0.2,高
DEV00000336,9,3680.6600000000003,1,0,9,7,1,0.1111111111111111,高
DEV00000342,8,2464.74,1,0,7,7,1,0.125,高
DEV00000343,13,9003.41,1,1,12,8,1,0.07692307692307693,高
DEV00000373,10,1929.66,1,0,7,7,1,0.1,高
DEV00000026,5,7700.94,0,0,5,5,1,0.0,低
DEV00000027,4,491.42,0,0,4,4,1,0.0,低
DEV00000028,8,2902.86,0,0,8,6,1,0.0,低
DEV00000029,4,6381.460000000001,0,0,4,3,1,0.0,低
DEV00000030,5,1639.13,0,0,5,3,1,0.0,低
DEV00000031,7,2215.86,0,0,7,5,1,0.0,低
DEV00000032,7,3182.42,0,0,7,5,1,0.0,低
DEV00000033,12,3948.1400000000003,0,0,12,7,1,0.0,低
DEV00000035,9,2370.83,0,0,9,6,1,0.0,低
DEV00000036,10,10222.970000000001,0,1,8,8,1,0.0,低
DEV00000037,9,2887.74,0,1,9,7,1,0.0,低
DEV00000038,6,3076.19,0,0,5,5,1,0.0,低
DEV00000039,5,2704.0699999999997,0,0,5,5,1,0.0,低
DEV00000040,9,5749.3099999999995,0,0,9,7,1,0.0,低
DEV00000041,12,7876.42,0,1,11,7,1,0.0,低
DEV00000042,14,7018.29,0,0,12,9,1,0.0,低
DEV00000043,10,4471.5,0,0,10,8,1,0.0,低
DEV00000044,10,4843.89,0,0,10,6,1,0.0,低
DEV00000045,11,6163.51,0,0,9,7,1,0.0,低
DEV00000046,9,2385.3,0,0,9,5,1,0.0,低
DEV00000047,19,8412.93,0,0,17,8,1,0.0,低
DEV00000049,5,4368.51,0,0,5,4,1,0.0,低
DEV00000050,13,5544.27,0,1,12,8,1,0.0,低
DEV00000051,9,2060.87,0,0,7,6,1,0.0,低
DEV00000052,12,4590.88,0,1,11,6,1,0.0,低
DEV00000053,7,8461.8,0,0,7,6,1,0.0,低
DEV00000054,12,14079.220000000001,0,0,12,7,1,0.0,低
DEV00000055,13,8219.28,0,0,11,8,1,0.0,低
DEV00000056,11,2199.09,0,2,9,6,1,0.0,低
DEV00000057,9,2429.74,0,0,8,6,1,0.0,低
DEV00000058,11,1944.1200000000001,0,0,11,7,1,0.0,低
DEV00000059,6,1667.48,0,0,6,5,1,0.0,低
DEV00000060,4,551.4499999999999,0,0,4,4,1,0.0,低
DEV00000062,9,4918.24,0,0,9,8,1,0.0,低
DEV00000063,8,2335.14,0,0,7,4,1,0.0,低
DEV00000064,7,3377.54,0,0,6,6,1,0.0,低
DEV00000067,4,3078.51,0,0,4,4,1,0.0,低
DEV00000069,7,1981.47,0,0,7,5,1,0.0,低
DEV00000070,4,897.3,0,0,4,4,1,0.0,低
DEV00000072,8,4679.01,0,0,7,4,1,0.0,低
DEV00000073,6,1455.15,0,0,6,5,1,0.0,低
DEV00000074,8,3162.77,0,0,7,6,1,0.0,低
DEV00000075,7,2354.33,0,0,6,6,1,0.0,低
DEV00000076,6,2333.81,0,0,5,3,1,0.0,低
DEV00000078,3,505.12,0,0,3,3,1,0.0,低
DEV00000079,10,9082.36,0,0,8,5,1,0.0,低
DEV00000081,8,4751.3099999999995,0,0,8,7,1,0.0,低
DEV00000082,5,853.88,0,0,5,4,1,0.0,低
DEV00000083,5,4435.67,0,0,5,4,1,0.0,低
DEV00000084,10,6254.25,0,1,10,7,1,0.0,低
DEV00000085,12,4975.7300000000005,0,1,10,8,1,0.0,低
DEV00000087,2,295.32,0,0,2,2,1,0.0,低
DEV00000088,10,3853.6099999999997,0,1,10,8,1,0.0,低
DEV00000089,9,7193.54,0,0,9,5,1,0.0,低
DEV00000090,4,1873.98,0,0,3,3,1,0.0,低
DEV00000091,9,2414.01,0,0,9,6,1,0.0,低
DEV00000092,6,8639.3,0,0,6,6,1,0.0,低
DEV00000093,8,3030.0299999999997,0,0,7,7,1,0.0,低
DEV00000094,9,2082.54,0,0,9,7,1,0.0,低
DEV00000095,8,1546.9,0,0,7,6,1,0.0,低
DEV00000096,9,3490.6,0,0,9,5,1,0.0,低
DEV00000097,7,1257.32,0,0,6,6,1,0.0,低
DEV00000098,11,12021.36,0,0,10,4,1,0.0,低
DEV00000099,5,2112.72,0,0,5,4,1,0.0,低
DEV00000100,8,4117.74,0,0,7,6,1,0.0,低
DEV00000101,11,2550.98,0,0,11,7,1,0.0,低
DEV00000102,9,3668.57,0,0,8,6,1,0.0,低
DEV00000103,5,558.97,0,0,5,3,1,0.0,低
DEV00000105,10,16113.960000000001,0,1,8,6,1,0.0,低
DEV00000109,10,5778.85,0,0,10,7,1,0.0,低
DEV00000110,10,6832.02,0,0,10,7,1,0.0,低
DEV00000111,6,6692.400000000001,0,0,6,6,1,0.0,低
DEV00000113,5,952.96,0,1,5,5,1,0.0,低
DEV00000114,7,2399.67,0,2,7,5,1,0.0,低
DEV00000115,10,4314.38,0,0,10,7,1,0.0,低
DEV00000116,14,9034.75,0,0,13,7,1,0.0,低
DEV00000118,7,4174.16,0,1,6,5,1,0.0,低
DEV00000119,8,1657.79,0,0,8,6,1,0.0,低
DEV00000120,9,6815.27,0,0,8,5,1,0.0,低
DEV00000122,4,3216.72,0,0,4,3,1,0.0,低
DEV00000123,4,2517.49,0,0,4,4,1,0.0,低
DEV00000124,8,5988.58,0,0,8,5,1,0.0,低
DEV00000125,10,7997.030000000001,0,0,9,6,1,0.0,低
DEV00000126,8,4920.3099999999995,0,0,7,6,1,0.0,低
DEV00000127,6,2514.27,0,0,6,5,1,0.0,低
DEV00000128,13,5166.26,0,0,10,8,1,0.0,低
DEV00000129,9,6295.5,0,0,9,6,1,0.0,低
DEV00000130,6,2336.7200000000003,0,0,5,5,1,0.0,低
DEV00000131,9,8528.35,0,0,8,6,1,0.0,低
DEV00000132,7,3593.8,0,0,7,4,1,0.0,低
DEV00000133,8,3293.56,0,1,7,6,1,0.0,低
DEV00000134,10,2270.74,0,0,9,7,1,0.0,低
DEV00000135,13,5039.92,0,0,12,8,1,0.0,低
DEV00000136,7,1762.8600000000001,0,0,6,5,1,0.0,低
DEV00000137,7,3016.52,0,0,7,5,1,0.0,低
DEV00000138,9,1098.03,0,0,9,5,1,0.0,低
DEV00000139,8,5384.9400000000005,0,0,6,6,1,0.0,低
DEV00000140,11,1481.84,0,0,10,6,1,0.0,低
DEV00000143,6,3726.88,0,0,6,5,1,0.0,低
DEV00000144,9,4393.45,0,1,8,7,1,0.0,低
DEV00000145,13,7665.6900000000005,0,0,13,7,1,0.0,低
DEV00000146,9,2070.91,0,1,9,6,1,0.0,低
DEV00000147,6,4908.22,0,0,6,5,1,0.0,低
DEV00000148,5,2716.34,0,0,5,3,1,0.0,低
DEV00000149,10,3943.05,0,1,8,6,1,0.0,低
DEV00000151,10,8596.029999999999,0,0,9,5,1,0.0,低
DEV00000152,6,5030.42,0,0,6,5,1,0.0,低
DEV00000153,13,6444.17,0,0,12,6,1,0.0,低
DEV00000154,8,5183.07,0,0,8,6,1,0.0,低
DEV00000155,8,2105.84,0,0,8,5,1,0.0,低
DEV00000156,7,2274.1,0,0,6,7,1,0.0,低
DEV00000157,4,2698.0699999999997,0,0,4,3,1,0.0,低
DEV00000158,9,2822.2799999999997,0,0,9,6,1,0.0,低
DEV00000159,6,1093.42,0,0,6,5,1,0.0,低
DEV00000160,8,2832.21,0,0,8,6,1,0.0,低
DEV00000161,4,1715.71,0,0,4,3,1,0.0,低
DEV00000162,4,1784.4099999999999,0,0,4,3,1,0.0,低
DEV00000163,7,2552.89,0,0,7,5,1,0.0,低
DEV00000164,3,246.42000000000002,0,0,3,2,1,0.0,低
DEV00000165,7,6612.53,0,0,7,5,1,0.0,低
DEV00000166,3,577.64,0,0,3,3,1,0.0,低
DEV00000167,8,3863.76,0,0,8,7,1,0.0,低
DEV00000168,8,4452.93,0,0,7,5,1,0.0,低
DEV00000169,8,2017.62,0,0,8,6,1,0.0,低
DEV00000170,7,2111.59,0,0,7,6,1,0.0,低
DEV00000171,3,999.4,0,0,3,3,1,0.0,低
DEV00000172,5,3500.12,0,0,5,4,1,0.0,低
DEV00000173,8,2759.58,0,0,7,5,1,0.0,低
DEV00000174,3,2271.32,0,1,3,2,1,0.0,低
DEV00000175,9,1765.67,0,0,9,5,1,0.0,低
DEV00000176,8,7966.3099999999995,0,0,8,6,1,0.0,低
DEV00000178,3,1112.49,0,0,3,3,1,0.0,低
DEV00000180,4,4453.56,0,0,4,4,1,0.0,低
DEV00000181,9,3017.02,0,1,9,7,1,0.0,低
DEV00000182,8,1449.12,0,0,8,6,1,0.0,低
DEV00000183,11,4347.46,0,0,11,6,1,0.0,低
DEV00000184,6,2153.06,0,0,5,6,1,0.0,低
DEV00000185,8,2773.5,0,0,8,6,1,0.0,低
DEV00000187,6,1096.3200000000002,0,0,6,5,1,0.0,低
DEV00000048,10,1312.97,0,1,9,8,1,0.0,低
DEV00000189,5,835.74,0,1,5,4,1,0.0,低
DEV00000190,19,4461.46,0,0,18,9,1,0.0,低
DEV00000191,5,1456.08,0,0,4,5,1,0.0,低
DEV00000192,7,5623.48,0,0,6,6,1,0.0,低
DEV00000193,4,3198.63,0,0,4,3,1,0.0,低
DEV00000194,5,1719.76,0,0,5,5,1,0.0,低
DEV00000195,7,1804.91,0,0,7,4,1,0.0,低
DEV00000196,7,9127.529999999999,0,1,7,5,1,0.0,低
DEV00000197,9,7478.31,0,0,9,5,1,0.0,低
DEV00000198,9,6294.33,0,0,8,8,1,0.0,低
DEV00000360,5,1362.7,0,0,4,4,1,0.0,低
DEV00000200,8,5560.67,0,0,8,7,1,0.0,低
DEV00000201,8,2439.83,0,1,7,7,1,0.0,低
DEV00000202,7,4294.04,0,0,7,7,1,0.0,低
DEV00000203,4,1558.73,0,0,4,4,1,0.0,低
DEV00000204,9,5346.0,0,0,8,7,1,0.0,低
DEV00000205,10,7369.29,0,1,9,8,1,0.0,低
DEV00000206,5,1476.35,0,0,5,5,1,0.0,低
DEV00000359,9,5351.54,0,1,9,7,1,0.0,低
DEV00000208,8,1343.51,0,0,7,6,1,0.0,低
DEV00000209,8,10555.48,0,0,8,6,1,0.0,低
DEV00000210,12,4481.35,0,0,12,7,1,0.0,低
DEV00000211,10,2525.2599999999998,0,1,6,6,1,0.0,低
DEV00000212,8,2850.06,0,0,8,5,1,0.0,低
DEV00000213,7,2834.07,0,1,6,5,1,0.0,低
DEV00000375,6,789.91,0,0,6,6,1,0.0,低
DEV00000215,5,999.59,0,0,5,4,1,0.0,低
DEV00000216,7,4035.0699999999997,0,0,7,5,1,0.0,低
DEV00000001,7,7374.4,0,0,7,5,1,0.0,低
DEV00000218,8,1921.3300000000002,0,0,8,6,1,0.0,低
DEV00000219,6,1197.84,0,1,6,6,1,0.0,低
DEV00000220,6,8490.859999999999,0,0,6,5,1,0.0,低
DEV00000221,7,2130.29,0,0,7,5,1,0.0,低
DEV00000222,9,4749.35,0,0,9,7,1,0.0,低
DEV00000002,6,2620.14,0,0,6,4,1,0.0,低
DEV00000224,8,6082.37,0,0,8,6,1,0.0,低
DEV00000225,3,1146.3,0,0,3,3,1,0.0,低
DEV00000344,6,2514.6,0,1,6,5,1,0.0,低
DEV00000227,15,15668.49,0,0,15,8,1,0.0,低
DEV00000228,11,7561.129999999999,0,2,10,8,1,0.0,低
DEV00000229,7,2905.73,0,1,7,7,1,0.0,低
DEV00000230,9,1821.9,0,0,8,6,1,0.0,低
DEV00000231,4,1336.71,0,0,4,3,1,0.0,低
DEV00000232,7,1418.08,0,0,7,6,1,0.0,低
DEV00000233,10,1839.95,0,1,10,7,1,0.0,低
DEV00000345,7,3217.47,0,0,7,7,1,0.0,低
DEV00000235,13,7093.16,0,1,11,7,1,0.0,低
DEV00000346,12,9246.310000000001,0,0,11,7,1,0.0,低
DEV00000237,9,3132.39,0,1,8,5,1,0.0,低
DEV00000347,8,2539.4,0,1,6,6,1,0.0,低
DEV00000348,10,3157.62,0,0,9,6,1,0.0,低
DEV00000240,10,6077.85,0,1,9,7,1,0.0,低
DEV00000241,3,871.08,0,0,3,3,1,0.0,低
DEV00000242,4,2035.3,0,0,4,2,1,0.0,低
DEV00000243,4,3558.94,0,0,4,3,1,0.0,低
DEV00000244,5,2612.56,0,0,5,4,1,0.0,低
DEV00000245,7,2856.24,0,0,7,5,1,0.0,低
DEV00000246,11,3948.13,0,0,10,5,1,0.0,低
DEV00000247,8,1371.05,0,1,8,6,1,0.0,低
DEV00000248,7,2622.5,0,0,7,4,1,0.0,低
DEV00000349,10,2797.01,0,0,9,8,1,0.0,低
DEV00000250,10,4707.17,0,0,9,7,1,0.0,低
DEV00000251,8,3401.04,0,0,8,5,1,0.0,低
DEV00000252,8,6682.179999999999,0,0,7,6,1,0.0,低
DEV00000253,11,5054.7,0,1,11,7,1,0.0,低
DEV00000254,11,5755.34,0,1,10,7,1,0.0,低
DEV00000255,7,6092.07,0,0,6,4,1,0.0,低
DEV00000256,3,764.47,0,0,3,3,1,0.0,低
DEV00000257,10,3751.34,0,0,8,7,1,0.0,低
DEV00000258,7,2663.9300000000003,0,0,6,6,1,0.0,低
DEV00000259,2,884.94,0,0,2,2,1,0.0,低
DEV00000350,7,3874.0499999999997,0,1,7,5,1,0.0,低
DEV00000261,8,5251.33,0,0,8,5,1,0.0,低
DEV00000262,8,5474.4,0,0,8,6,1,0.0,低
DEV00000263,5,3566.96,0,0,5,3,1,0.0,低
DEV00000264,5,2976.17,0,0,5,3,1,0.0,低
DEV00000265,8,6362.77,0,1,7,6,1,0.0,低
DEV00000266,11,6019.78,0,0,11,7,1,0.0,低
DEV00000267,4,852.39,0,0,4,4,1,0.0,低
DEV00000268,3,602.71,0,0,3,3,1,0.0,低
DEV00000269,13,8414.289999999999,0,1,10,8,1,0.0,低
DEV00000270,11,6529.1,0,0,9,7,1,0.0,低
DEV00000271,11,4847.99,0,0,11,8,1,0.0,低
DEV00000272,6,3375.32,0,0,5,3,1,0.0,低
DEV00000273,11,5353.0,0,0,10,6,1,0.0,低
DEV00000274,7,3247.0699999999997,0,0,7,5,1,0.0,低
DEV00000351,7,2854.5,0,0,7,5,1,0.0,低
DEV00000276,6,2746.13,0,0,6,4,1,0.0,低
DEV00000277,6,2250.62,0,0,5,5,1,0.0,低
DEV00000278,7,5968.12,0,0,6,5,1,0.0,低
DEV00000279,8,7061.28,0,0,8,5,1,0.0,低
DEV00000280,9,3119.17,0,0,7,6,1,0.0,低
DEV00000281,8,3840.9700000000003,0,0,7,6,1,0.0,低
DEV00000282,13,9982.13,0,1,13,8,1,0.0,低
DEV00000352,10,2724.29,0,0,9,6,1,0.0,低
DEV00000284,8,20215.5,0,0,7,5,1,0.0,低
DEV00000353,7,5247.96,0,0,7,7,1,0.0,低
DEV00000286,7,3054.99,0,0,7,5,1,0.0,低
DEV00000287,7,1638.56,0,1,6,5,1,0.0,低
DEV00000288,11,6011.79,0,1,10,7,1,0.0,低
DEV00000289,13,9328.050000000001,0,1,10,8,1,0.0,低
DEV00000290,6,2403.9,0,1,6,4,1,0.0,低
DEV00000291,7,2114.0299999999997,0,0,6,4,1,0.0,低
DEV00000292,9,3661.8199999999997,0,0,9,5,1,0.0,低
DEV00000293,7,2360.8500000000004,0,1,6,5,1,0.0,低
DEV00000294,6,1910.63,0,0,6,4,1,0.0,低
DEV00000295,11,7045.87,0,0,11,8,1,0.0,低
DEV00000296,10,3117.4,0,0,9,5,1,0.0,低
DEV00000297,12,5151.73,0,0,11,7,1,0.0,低
DEV00000298,6,950.35,0,0,6,5,1,0.0,低
DEV00000299,8,1188.52,0,0,8,5,1,0.0,低
DEV00000300,5,1734.5900000000001,0,0,5,5,1,0.0,低
DEV00000301,8,828.5,0,0,8,5,1,0.0,低
DEV00000302,9,3438.56,0,0,9,6,1,0.0,低
DEV00000303,4,1144.83,0,0,4,4,1,0.0,低
DEV00000304,7,3918.6,0,0,6,6,1,0.0,低
DEV00000305,8,8345.66,0,1,8,4,1,0.0,低
DEV00000354,10,4076.38,0,0,8,6,1,0.0,低
DEV00000307,9,3515.79,0,0,9,5,1,0.0,低
DEV00000308,11,3732.17,0,1,10,6,1,0.0,低
DEV00000309,5,1969.2,0,0,5,4,1,0.0,低
DEV00000310,10,8269.710000000001,0,0,10,7,1,0.0,低
DEV00000311,8,3811.8399999999997,0,0,8,6,1,0.0,低
DEV00000355,7,3073.0199999999995,0,0,7,5,1,0.0,低
DEV00000313,4,1090.24,0,0,3,2,1,0.0,低
DEV00000314,3,269.82,0,0,3,2,1,0.0,低
DEV00000315,9,2417.25,0,1,9,6,1,0.0,低
DEV00000316,7,1111.54,0,0,6,5,1,0.0,低
DEV00000317,8,3461.54,0,0,7,6,1,0.0,低
DEV00000318,6,1250.2,0,0,6,5,1,0.0,低
DEV00000319,2,209.36,0,0,2,2,1,0.0,低
DEV00000320,8,3260.69,0,1,8,6,1,0.0,低
DEV00000321,11,5297.82,0,0,11,5,1,0.0,低
DEV00000322,8,7111.4800000000005,0,0,7,5,1,0.0,低
DEV00000323,2,580.04,0,0,2,2,1,0.0,低
DEV00000324,8,1800.02,0,0,8,5,1,0.0,低
DEV00000325,9,3142.9300000000003,0,0,7,5,1,0.0,低
DEV00000326,9,5111.73,0,0,9,6,1,0.0,低
DEV00000356,11,3526.0699999999997,0,1,9,7,1,0.0,低
DEV00000328,11,3264.88,0,0,10,7,1,0.0,低
DEV00000283,9,8166.49,0,0,9,6,1,0.0,低
DEV00000330,9,6874.79,0,0,8,5,1,0.0,低
DEV00000331,7,2373.36,0,0,7,6,1,0.0,低
DEV00000332,15,4005.7799999999997,0,1,13,6,1,0.0,低
DEV00000333,6,1924.66,0,0,6,5,1,0.0,低
DEV00000357,8,5380.16,0,0,7,7,1,0.0,低
DEV00000335,7,2445.52,0,0,7,5,1,0.0,低
DEV00000358,14,13802.52,0,0,13,8,1,0.0,低
DEV00000337,10,2835.46,0,0,9,6,1,0.0,低
DEV00000338,8,4342.03,0,0,8,6,1,0.0,低
DEV00000339,5,2407.57,0,0,5,3,1,0.0,低
DEV00000340,13,6011.95,0,0,13,8,1,0.0,低
DEV00000341,8,5954.0599999999995,0,0,8,5,1,0.0,低
DEV00000004,9,2343.97,0,0,9,6,1,0.0,低
DEV00000023,5,3519.61,0,0,5,5,1,0.0,低
DEV00000003,6,6264.88,0,0,6,5,1,0.0,低
DEV00000361,9,2652.51,0,0,9,7,1,0.0,低
DEV00000362,6,2299.68,0,0,6,4,1,0.0,低
DEV00000363,16,5567.7,0,0,14,9,1,0.0,低
DEV00000364,9,5396.08,0,0,8,6,1,0.0,低
DEV00000365,8,2548.79,0,0,7,5,1,0.0,低
DEV00000366,10,2292.8399999999997,0,0,10,7,1,0.0,低
DEV00000367,3,2708.53,0,0,3,2,1,0.0,低
DEV00000368,6,1229.49,0,0,6,4,1,0.0,低
DEV00000369,5,1681.0100000000002,0,0,5,4,1,0.0,低
DEV00000370,9,4716.389999999999,0,0,9,6,1,0.0,低
DEV00000371,12,3847.31,0,0,10,7,1,0.0,低
DEV00000372,6,4216.28,0,0,6,5,1,0.0,低
DEV00000024,4,2129.4500000000003,0,0,4,4,1,0.0,低
DEV00000374,7,4691.4,0,0,5,4,1,0.0,低
DEV00000006,11,5995.650000000001,0,0,10,6,1,0.0,低
DEV00000005,13,6038.87,0,0,13,7,1,0.0,低
DEV00000008,8,1507.3799999999999,0,0,8,7,1,0.0,低
DEV00000009,11,6697.69,0,0,10,6,1,0.0,低
DEV00000010,7,2449.15,0,0,6,5,1,0.0,低
DEV00000011,4,380.36,0,0,4,3,1,0.0,低
DEV00000012,10,5168.47,0,1,9,6,1,0.0,低
DEV00000013,5,2198.35,0,0,4,4,1,0.0,低
DEV00000014,11,5103.969999999999,0,0,9,8,1,0.0,低
DEV00000015,9,5476.36,0,1,7,5,1,0.0,低
DEV00000016,8,1677.42,0,0,7,5,1,0.0,低
DEV00000017,7,2110.65,0,0,7,6,1,0.0,低
DEV00000018,6,1283.21,0,0,6,4,1,0.0,低
DEV00000019,7,2993.61,0,0,6,5,1,0.0,低
DEV00000020,8,2377.5299999999997,0,1,8,7,1,0.0,低
DEV00000021,10,4793.62,0,1,10,5,1,0.0,低
DEV00000329,8,3894.51,0,0,8,6,1,0.0,低
